No.	NAME	MACCSFP1	MACCSFP2	MACCSFP3	MACCSFP4	MACCSFP5	MACCSFP6	MACCSFP7	MACCSFP8	MACCSFP9	MACCSFP10	MACCSFP11	MACCSFP12	MACCSFP13	MACCSFP14	MACCSFP15	MACCSFP16	MACCSFP17	MACCSFP18	MACCSFP19	MACCSFP20	MACCSFP21	MACCSFP22	MACCSFP23	MACCSFP24	MACCSFP25	MACCSFP26	MACCSFP27	MACCSFP28	MACCSFP29	MACCSFP30	MACCSFP31	MACCSFP32	MACCSFP33	MACCSFP34	MACCSFP35	MACCSFP36	MACCSFP37	MACCSFP38	MACCSFP39	MACCSFP40	MACCSFP41	MACCSFP42	MACCSFP43	MACCSFP44	MACCSFP45	MACCSFP46	MACCSFP47	MACCSFP48	MACCSFP49	MACCSFP50	MACCSFP51	MACCSFP52	MACCSFP53	MACCSFP54	MACCSFP55	MACCSFP56	MACCSFP57	MACCSFP58	MACCSFP59	MACCSFP60	MACCSFP61	MACCSFP62	MACCSFP63	MACCSFP64	MACCSFP65	MACCSFP66	MACCSFP67	MACCSFP68	MACCSFP69	MACCSFP70	MACCSFP71	MACCSFP72	MACCSFP73	MACCSFP74	MACCSFP75	MACCSFP76	MACCSFP77	MACCSFP78	MACCSFP79	MACCSFP80	MACCSFP81	MACCSFP82	MACCSFP83	MACCSFP84	MACCSFP85	MACCSFP86	MACCSFP87	MACCSFP88	MACCSFP89	MACCSFP90	MACCSFP91	MACCSFP92	MACCSFP93	MACCSFP94	MACCSFP95	MACCSFP96	MACCSFP97	MACCSFP98	MACCSFP99	MACCSFP100	MACCSFP101	MACCSFP102	MACCSFP103	MACCSFP104	MACCSFP105	MACCSFP106	MACCSFP107	MACCSFP108	MACCSFP109	MACCSFP110	MACCSFP111	MACCSFP112	MACCSFP113	MACCSFP114	MACCSFP115	MACCSFP116	MACCSFP117	MACCSFP118	MACCSFP119	MACCSFP120	MACCSFP121	MACCSFP122	MACCSFP123	MACCSFP124	MACCSFP125	MACCSFP126	MACCSFP127	MACCSFP128	MACCSFP129	MACCSFP130	MACCSFP131	MACCSFP132	MACCSFP133	MACCSFP134	MACCSFP135	MACCSFP136	MACCSFP137	MACCSFP138	MACCSFP139	MACCSFP140	MACCSFP141	MACCSFP142	MACCSFP143	MACCSFP144	MACCSFP145	MACCSFP146	MACCSFP147	MACCSFP148	MACCSFP149	MACCSFP150	MACCSFP151	MACCSFP152	MACCSFP153	MACCSFP154	MACCSFP155	MACCSFP156	MACCSFP157	MACCSFP158	MACCSFP159	MACCSFP160	MACCSFP161	MACCSFP162	MACCSFP163	MACCSFP164	MACCSFP165	MACCSFP166
11	Molecule11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
12	Molecule12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
13	Molecule13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
14	Molecule14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
15	Molecule15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
16	Molecule16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
17	Molecule17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	0	1	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
18	Molecule18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
19	Molecule19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
20	Molecule20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
21	Molecule21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
22	Molecule22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
23	Molecule23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
24	Molecule24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
25	Molecule25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
26	Molecule26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
27	Molecule27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
28	Molecule28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
29	Molecule29	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
30	Molecule30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
31	Molecule31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
32	Molecule32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
33	Molecule33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
